,Country.Name,Country.Code,Year,GDP per capita (current US$),Gini index,"Unemployment, total (% of total labor force) (national estimate)","Inflation, consumer prices (annual %)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),"Life expectancy at birth, total (years)","School enrollment, tertiary (% gross)",Current health expenditure per capita (current US$),Population growth (annual %),Access to electricity (% of population),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Urban population (% of total population)
36,France,FRA,2010,40694.82117,33.7,9.279,1.531122704,27.82648809,21.3378695,81.66341463,54.8817215,4592.383301,0.492976371,100,77.28,92.53807461,78.369
37,France,FRA,2011,43929.78409,33.3,9.228,2.111597952,29.53884734,22.49964527,82.11463415,55.62572861,4931.87793,0.482667411,100,77.82,95.28593331,78.622
38,France,FRA,2012,40863.58144,33.1,9.841,1.954195316,30.35567865,21.82956488,81.96829268,57.90901184,4644.595703,0.483714919,100,81.44,98.71349646,78.878
39,France,FRA,2013,42669.17951,32.5,9.913,0.863715498,30.59128534,21.52044196,82.2195122,59.8487587,4884.766602,0.516915013,100,81.9198,99.98234788,79.135
40,France,FRA,2014,43148.04593,32.3,10.273,0.507758823,30.7418129,21.83647082,82.7195122,61.51047897,4980.814941,0.474847846,100,83.7511,102.8881154,79.394
41,France,FRA,2015,36702.43237,32.7,10.354,0.037514381,31.69349473,21.71654186,82.32195122,62.78593063,4201.781738,0.35556924,100,78.006,104.4996731,79.655
42,France,FRA,2016,37024.21571,31.9,10.057,0.183334861,31.49821007,21.59786062,82.57317073,64.72767639,4256.765625,0.263868789,100,79.2698,105.5973124,79.917
43,France,FRA,2017,38687.16264,31.6,9.41,1.032282751,32.31183404,22.1813992,82.57560976,65.80223083,4410.599121,0.290202116,100,80.5025,107.5983841,80.18
44,France,FRA,2018,41418.17665,32.4,9.018,1.850815083,32.91798189,22.61157389,82.67560976,67.54351807,4666.97998,0.358494582,100,82.0432,109.5588076,80.444
45,France,FRA,2019,40408.28486,31.2,8.415,1.108254923,32.88955939,23.02507336,82.82682927,67.73313141,4504.484863,0.332559129,100,83.3397,111.8637727,80.709
46,France,FRA,2020,39169.8606,30.7,8.01,0.476498853,28.55722282,22.80441821,82.17560976,68.87094116,4755.44043,0.324557781,100,84.7064,112.8271405,80.975
47,France,FRA,2021,43725.09995,31.5,7.871,1.64233141,31.28804993,23.44748458,82.32439024,69.93978882,5380.875,0.356902332,100,86.0955,116.6934991,81.242
48,Germany,DEU,2013,47220.01021,31.5,5.316,1.504723303,41.66865461,19.81076142,80.4902439,60.89844894,5100.152344,0.272900215,100,84.17,122.4697309,77.18
49,Germany,DEU,2014,48971.08247,30.8,4.98,0.906794,41.6838907,20.15821545,81.0902439,65.18447876,5309.154785,0.416877359,100,86.1937,121.5873792,77.19
50,Germany,DEU,2015,41911.01099,31.7,4.612,0.514426137,42.60444315,19.46179897,80.64146341,68.23291016,4627.35791,0.865702644,100,87.5898,117.4073504,77.2
51,Germany,DEU,2016,42961.03569,31.4,4.104,0.491747008,41.6238177,19.7348652,80.9902439,67.94641113,4746.870117,0.807218539,100,84.1652,125.6749823,77.224
52,Germany,DEU,2017,45526.59996,31.3,3.781,1.509494851,42.32598143,20.51328236,80.99268293,68.46923065,5070.195801,0.37372456,100,84.3942,132.7695384,77.261
53,Germany,DEU,2018,48874.8595,31.9,3.384,1.732168798,42.60739173,21.47053595,80.89268293,69.16342926,5511.214355,0.300526702,100,87.0371,129.6794748,77.312
54,Germany,DEU,2019,47623.86561,31.8,3.163,1.445659769,42.38630449,21.30007242,81.29268293,72.70507813,5486.98877,0.225519874,100,88.1345,128.9265144,77.376
55,Germany,DEU,2020,47379.76519,32.4,3.881,0.144877926,39.16918385,21.66673431,81.04146341,72.38941956,5936.251465,0.081693159,100,89.8129,128.8867207,77.453
56,India,IND,2018,1966.254552,34.5,7.652,3.938826467,19.9278286,32.34321822,70.71,28.53168678,58,1.097299067,95.7,20.0813,85.90350833,34.03
57,India,IND,2019,2041.428637,33.8,6.51,3.729505735,18.6642649,30.09619757,70.91,29.0233593,61,1.040013951,95.9,29.5235,83.25286162,34.472
58,India,IND,2020,1907.042516,33.8,7.859,6.623436776,18.68247693,28.92238401,70.15,29.81963921,64,0.973438647,96.5,43.4054,82.621059,34.926
59,Indonesia,IDN,2000,763.711125,30.3,6.078,3.68861916,40.97730847,22.24569693,66.433,14.92541981,15.53566933,1.432440078,86.3,0.925564,1.714058712,42.002
60,Indonesia,IDN,2001,732.3070934,31.2,6.082,11.50011488,39.0321391,22.53926632,66.758,14.23404026,17.0277462,1.388018928,86.3,2.01861,3.003488464,42.783
61,Indonesia,IDN,2002,881.0029136,30.2,6.604,11.90011757,32.68762089,21.40407021,67.134,14.80152035,19.14863396,1.355725755,87.6,2.13414,5.31540109,43.568
62,Indonesia,IDN,2003,1043.210584,29.3,6.658,6.757317194,30.47765478,25.59849839,67.413,15.90357018,25.73569489,1.323781977,87.9,2.38702,8.290855733,44.356
63,Indonesia,IDN,2004,1126.840044,30.4,7.303,6.064059885,32.21669462,24.05636637,65.75,16.32126999,26.21132469,1.271011395,89,2.60029,13.42692564,45.149
64,Indonesia,IDN,2005,1238.214476,29.9,7.945,10.45319842,34.06726763,25.08140994,67.649,16.87046051,34.40548706,1.283806612,84.8,3.60202,20.5021492,45.942
65,Indonesia,IDN,2006,1558.315628,31.5,7.551,13.1086721,31.03471631,25.40021729,67.914,16.9588604,44.80917358,1.325255023,90.6,4.76481,27.52533357,46.738
66,Indonesia,IDN,2007,1823.219763,33.2,8.06,6.406562813,29.43571849,24.92028385,68.189,17.79603004,56.52228165,1.320865324,91.1,5.78627,39.76307645,47.535
67,Indonesia,IDN,2008,2124.554839,32.6,7.209,10.22666455,29.80828417,27.81624458,68.226,20.80934906,59.79582214,1.29735043,92.7,7.91748,59.08224127,48.335
68,Indonesia,IDN,2009,2218.485419,33.4,6.106,4.38641555,24.15911967,30.98519241,68.494,23.0492897,62.98189545,1.266986251,93.6,6.92,67.92102195,49.134
69,Indonesia,IDN,2010,3065.683484,34.6,5.614,5.134204008,24.29903094,32.88012145,68.679,23.80781937,86.36213684,1.260541401,94.2,10.92,86.58861927,49.914
70,Indonesia,IDN,2011,3579.464425,37.9,5.153,5.35604779,26.32735309,32.98433326,68.823,25.4599514,108.0318604,1.276688306,94.8,12.28,101.095073,50.595
71,Indonesia,IDN,2012,3632.27254,37.1,4.468,4.279499996,24.59437879,35.07159361,68.973,29.56583595,106.9016342,1.285838166,96,14.52,112.6850884,51.276
72,Indonesia,IDN,2013,3566.602845,38.9,4.336,6.412513302,23.92357638,33.83135679,69.264,30.43856621,103.3793182,1.240380016,96.5,14.94,123.6702315,51.955
